Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
scot-a,dev,src/main/resources/scotland_test_population,20170803-012333:309,0,false,58804,1y,100y,312328,0,0,1/1/1855,1/1/2016,23.837060911,0.0,0.0,results/scot-a/20170803-012333:309
scot-a,dev,src/main/resources/scotland_test_population,20170803-012357:146,0,false,58804,1y,100y,339876,0,0,1/1/1855,1/1/2016,19.433075119,0.0,0.0,results/scot-a/20170803-012357:146
scot-a,dev,src/main/resources/scotland_test_population,20170803-012416:579,0,false,58804,1y,100y,345851,0,0,1/1/1855,1/1/2016,25.213824106,0.0,0.0,results/scot-a/20170803-012416:579
scot-a,dev,src/main/resources/scotland_test_population,20170803-012441:794,1213166,true,58804,1y,100y,182762,96021,182039,1/1/1855,1/1/2016,60.895253317,262.22490045,15.911993669,results/scot-a/20170803-012441:794
scot-a,dev,src/main/resources/scotland_test_population,20170803-013020:826,0,false,58804,1y,100y,283815,0,0,1/1/1855,1/1/2016,10.504311709,0.0,0.0,results/scot-a/20170803-013020:826
scot-a,dev,src/main/resources/scotland_test_population,20170803-013031:330,0,false,58804,1y,100y,316014,0,0,1/1/1855,1/1/2016,23.064416982,0.0,0.0,results/scot-a/20170803-013031:330
scot-a,dev,src/main/resources/scotland_test_population,20170803-013054:395,0,false,58804,1y,100y,258048,0,0,1/1/1855,1/1/2016,31.726857052,0.0,0.0,results/scot-a/20170803-013054:395
scot-a,dev,src/main/resources/scotland_test_population,20170803-013126:122,0,false,58804,1y,100y,182659,0,0,1/1/1855,1/1/2016,55.90268926,0.0,0.0,results/scot-a/20170803-013126:122
scot-a,dev,src/main/resources/scotland_test_population,20170803-013222:025,0,false,58804,1y,100y,309855,0,0,1/1/1855,1/1/2016,24.214976066,0.0,0.0,results/scot-a/20170803-013222:025
scot-a,dev,src/main/resources/scotland_test_population,20170803-013246:240,0,false,58804,1y,100y,200247,0,0,1/1/1855,1/1/2016,43.113350607,0.0,0.0,results/scot-a/20170803-013246:240
scot-a,dev,src/main/resources/scotland_test_population,20170803-013329:354,0,false,58804,1y,100y,312173,0,0,1/1/1855,1/1/2016,23.775013568,0.0,0.0,results/scot-a/20170803-013329:354
scot-a,dev,src/main/resources/scotland_test_population,20170803-013353:129,0,false,58804,1y,100y,249151,0,0,1/1/1855,1/1/2016,36.698461413,0.0,0.0,results/scot-a/20170803-013353:129
scot-a,dev,src/main/resources/scotland_test_population,20170803-013429:828,0,false,58804,1y,100y,190725,0,0,1/1/1855,1/1/2016,42.717684566,0.0,0.0,results/scot-a/20170803-013429:828
scot-a,dev,src/main/resources/scotland_test_population,20170803-013512:546,0,false,58804,1y,100y,197050,0,0,1/1/1855,1/1/2016,41.685950882,0.0,0.0,results/scot-a/20170803-013512:546
scot-a,dev,src/main/resources/scotland_test_population,20170803-013554:232,0,false,58804,1y,100y,182772,0,0,1/1/1855,1/1/2016,47.862317038,0.0,0.0,results/scot-a/20170803-013554:232
scot-a,dev,src/main/resources/scotland_test_population,20170803-013642:095,0,false,58804,1y,100y,266299,0,0,1/1/1855,1/1/2016,30.574142793,0.0,0.0,results/scot-a/20170803-013642:095
