start.time,action,v.M
20180712-192000:802,RETAIN,6
20180712-192128:150,RERUN,8
20180712-192320:726,RETAIN,6
20180712-190713:560,RETAIN,8
20180712-192142:091,RETAIN,8
20180712-192521:401,RETAIN,15
20180712-190712:040,RETAIN,20
20180712-192400:641,RETAIN,8
20180712-191825:250,RETAIN,26
20180712-191841:543,RERUN,36
20180712-192403:084,RETAIN,20
20180712-192518:212,RETAIN,91
20180712-192552:378,RETAIN,10
20180712-192721:470,RETAIN,15
20180712-192829:681,RETAIN,20
20180712-192758:507,RETAIN,12
20180712-193039:336,RETAIN,12
20180712-192900:535,RETAIN,13
20180712-192834:414,RERUN,47
20180712-192845:811,RETAIN,40
20180712-192648:684,RETAIN,16
20180712-192618:105,RERUN,8
20180712-192712:579,RETAIN,14
20180712-192650:316,RETAIN,12
20180712-192735:948,RERUN,103
20180712-192923:646,RETAIN,8
20180712-193258:472,RETAIN,14
20180712-193330:914,RERUN,18
20180712-193209:304,RETAIN,22
20180712-191938:889,RETAIN,50
20180712-193121:162,RETAIN,5
20180712-192902:975,RETAIN,0
20180712-192135:206,RETAIN,53
20180712-193431:725,RETAIN,36
20180712-193100:004,RETAIN,48
20180712-193107:687,RETAIN,48
20180712-193840:693,RETAIN,10
20180712-193929:482,RETAIN,46
20180712-193806:445,RETAIN,80
20180712-193440:325,RETAIN,20
20180712-193754:898,RETAIN,24
20180712-193720:742,RETAIN,25
20180712-194107:899,RETAIN,7
20180712-193843:732,RETAIN,40
20180712-193839:923,RERUN,8
20180712-193731:866,RETAIN,35
20180712-193844:243,RERUN,14
20180712-194029:745,RETAIN,4
20180712-194249:766,RETAIN,15
20180712-194219:130,RETAIN,8
20180712-193814:439,RETAIN,19
20180712-193929:604,RERUN,97
20180712-193834:058,RETAIN,100
20180712-194312:624,RETAIN,4
20180712-194629:672,RETAIN,2
20180712-193129:815,RETAIN,77
20180712-194352:411,RETAIN,74
20180712-193323:421,RETAIN,20
20180712-194440:852,RERUN,45
20180712-194315:394,RETAIN,5
20180712-194217:602,RETAIN,9
20180712-194704:597,RETAIN,9
20180712-194652:403,RETAIN,38
20180712-194907:211,RETAIN,48
20180712-194757:698,RETAIN,37
20180712-194749:367,RETAIN,13
20180712-195151:368,RERUN,2
20180712-194716:598,RETAIN,12
20180712-194722:714,RERUN,12
20180712-195027:061,RETAIN,9
20180712-194906:675,RETAIN,21
20180712-194821:374,RETAIN,14
20180712-194900:843,RERUN,10
20180712-195345:485,RETAIN,109
20180712-194940:533,RETAIN,58
20180712-195509:187,RETAIN,7
20180712-194927:514,RERUN,80
20180712-195145:757,RERUN,6
20180712-195032:370,RETAIN,14
20180712-195701:026,RETAIN,89
20180712-195754:137,RETAIN,9
20180712-194358:870,RETAIN,78
20180712-195354:919,RETAIN,16
20180712-195316:611,RERUN,18
20180712-195606:459,RETAIN,0
20180712-195936:835,RERUN,5
20180712-195458:312,RETAIN,2
20180712-195641:146,RERUN,20
20180712-195818:605,RETAIN,9
20180712-194538:291,RETAIN,15
20180712-195946:133,RETAIN,20
20180712-200018:161,RETAIN,41
20180712-195935:932,RETAIN,72
20180712-195939:553,RETAIN,14
20180712-195946:450,RETAIN,13
20180712-195950:804,RETAIN,13
20180712-200713:490,RETAIN,95
20180712-200148:637,RETAIN,10
20180712-200412:936,RETAIN,19
20180712-195725:013,RETAIN,9
20180712-200657:122,RETAIN,10
20180712-200647:543,RETAIN,16
20180712-200231:805,RERUN,70
20180712-200239:321,RETAIN,42
20180712-200724:066,RETAIN,33
20180712-200944:934,RERUN,18
20180712-200143:199,RERUN,8
20180712-200720:863,RETAIN,6
20180712-200935:032,RETAIN,51
20180712-200252:696,RETAIN,13
20180712-200952:212,RETAIN,8
20180712-200845:572,RETAIN,36
20180712-200844:522,RETAIN,27
20180712-200013:181,RETAIN,16
20180712-201131:979,RETAIN,69
20180712-195718:562,RETAIN,7
20180712-201512:553,RETAIN,11
20180712-201101:819,RETAIN,14
20180712-201228:030,RETAIN,8
20180712-201043:822,RETAIN,25
20180712-201207:096,RERUN,23
20180712-201439:670,RETAIN,30
20180712-201516:915,RETAIN,100
20180712-201840:618,RETAIN,12
20180712-201826:188,RERUN,16
20180712-201524:844,RETAIN,15
20180712-201528:264,RERUN,98
20180712-201518:464,RETAIN,20
20180712-201625:505,RERUN,5
20180712-201645:478,RETAIN,14
20180712-201837:489,RETAIN,8
20180712-201742:314,RERUN,4
20180712-201908:773,RETAIN,13
20180712-201647:830,RETAIN,56
20180712-202332:003,RETAIN,22
20180712-201839:153,RETAIN,12
20180712-202144:496,RETAIN,44
20180712-201959:888,RETAIN,11
20180712-201703:805,RETAIN,9
20180712-202328:986,RETAIN,12
20180712-203126:952,RETAIN,16
20180712-202239:685,RETAIN,2
20180712-202219:368,RETAIN,8
20180712-201246:858,RETAIN,4
20180712-201235:829,RERUN,20
20180712-202424:333,RERUN,58
20180712-202515:492,RETAIN,40
20180712-202702:694,RERUN,38
20180712-202620:327,RETAIN,14
20180712-203544:117,RETAIN,60
20180712-202736:745,RETAIN,13
20180712-202834:008,RERUN,25
20180712-202833:305,RETAIN,14
20180712-202644:502,RETAIN,4
20180712-202613:068,RETAIN,8
20180712-202939:414,RETAIN,10
20180712-202751:255,RETAIN,20
20180712-202858:777,RETAIN,48
20180712-203055:626,RETAIN,4
20180712-203042:963,RETAIN,29
20180712-203033:548,RETAIN,26
20180712-204003:928,RETAIN,16
20180712-203426:715,RETAIN,10
20180712-203425:569,RETAIN,80
20180712-202907:408,RERUN,8
20180712-202932:319,RETAIN,14
20180712-203332:653,RETAIN,14
20180712-203728:575,RETAIN,96
20180712-204432:711,RETAIN,44
20180712-203457:613,RETAIN,44
20180712-203853:862,RETAIN,8
20180712-203358:271,RETAIN,16
20180712-203749:111,RETAIN,3
20180712-203943:420,RETAIN,3
20180712-204005:438,RERUN,5
20180712-203934:923,RETAIN,7
20180712-203900:087,RETAIN,6
20180712-202731:702,RETAIN,53
20180712-204850:700,RETAIN,8
20180712-202831:951,RETAIN,27
20180712-204112:912,RETAIN,13
20180712-204026:161,RETAIN,13
20180712-204200:401,RETAIN,18
20180712-203921:692,RETAIN,8
20180712-204308:359,RETAIN,104
20180712-204040:550,RETAIN,12
20180712-204438:517,RETAIN,0
20180712-204505:877,RETAIN,0
20180712-205300:144,RETAIN,33
20180712-204731:744,RETAIN,72
20180712-204805:716,RETAIN,14
