Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-163648:679,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594187,15625,TRUE,58439,1y,10y,124467,249359,249359,1/1/1855,01/01/2015,46.97964739,211.8658296,2.60E-06,src/main/resources/valipop/results/batch54-fs/20180703-163648:679,0,0,0.3,1,TRUE,147,6149.91964,NONE,13,348.1784017
20180703-163718:397,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594727,15625,TRUE,58439,1y,10y,124393,249687,249687,1/1/1855,01/01/2015,44.13958673,195.7353752,2.57E-06,src/main/resources/valipop/results/batch54-fs/20180703-163718:397,0,0,0.3,1,TRUE,147,5888.489848,NONE,18,360.2335458
20180703-163747:284,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,642539,15625,TRUE,58439,1y,10y,134413,269694,269694,1/1/1855,01/01/2015,45.08971245,210.3862507,4.43E-06,src/main/resources/valipop/results/batch54-fs/20180703-163747:284,0,0,0.3,1,TRUE,147,6160.56572,NONE,10,347.3213871
20180703-163911:364,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596969,15625,TRUE,58439,1y,10y,124897,250709,250709,1/1/1855,01/01/2015,81.23573342,379.7911533,2.16E-06,src/main/resources/valipop/results/batch54-fs/20180703-163911:364,0,0,0.3,0.3,TRUE,147,6110.854544,NONE,59,376.9202253
20180703-164041:971,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594332,15625,TRUE,58439,1y,10y,124332,249737,249737,1/1/1855,01/01/2015,61.94138926,374.5083166,3.54E-06,src/main/resources/valipop/results/batch54-fs/20180703-164041:971,0,0,0.3,0.3,TRUE,147,6158.38576,NONE,14,356.3529109
20180703-164554:432,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594063,15625,TRUE,58439,1y,10y,124322,249523,249523,1/1/1855,01/01/2015,48.00936099,220.5522342,3.13E-06,src/main/resources/valipop/results/batch54-fs/20180703-164554:432,0,0,0.3,1,TRUE,147,5929.890752,NONE,16,380.7896035
20180703-164601:377,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,664571,15625,TRUE,58439,1y,10y,139006,279052,279052,1/1/1855,01/01/2015,57.202662,221.8343578,2.09E-06,src/main/resources/valipop/results/batch54-fs/20180703-164601:377,0,0,0.3,1,TRUE,147,6162.672688,NONE,12,391.2310053
20180703-164720:011,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,633502,15625,TRUE,58439,1y,10y,132545,266312,266312,1/1/1855,01/01/2015,50.14399552,357.3056803,3.02E-06,src/main/resources/valipop/results/batch54-fs/20180703-164720:011,0,0,0.3,0,TRUE,147,6131.497528,NONE,14,351.3257321
20180703-164652:088,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592926,15625,TRUE,58439,1y,10y,124027,248924,248924,1/1/1855,01/01/2015,45.70996365,391.1270008,5.26E-06,src/main/resources/valipop/results/batch54-fs/20180703-164652:088,0,0,0.3,0,TRUE,147,5924.609048,NONE,16,349.610012
20180703-164657:433,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595598,15625,TRUE,58439,1y,10y,124643,249819,249819,1/1/1855,01/01/2015,49.70473914,395.8592855,2.90E-06,src/main/resources/valipop/results/batch54-fs/20180703-164657:433,0,0,0.3,0,TRUE,147,6069.141616,NONE,13,340.8976702
