Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-182055:978,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187141,31250,TRUE,58439,1y,10y,248400,498673,498673,1/1/1855,01/01/2015,82.63011636,465.5563937,2.12E-06,src/main/resources/valipop/results/batch53-fs/20180706-182055:978,0,0,0.2,0,TRUE,147,8951.04836,NONE,86,392.5159702,,
20180706-182114:302,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187884,31250,TRUE,58439,1y,10y,248651,498860,498860,1/1/1855,01/01/2015,74.81186614,475.9415381,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-182114:302,0,0,0.2,0,TRUE,147,8625.99524,NONE,84,391.5418281,,
20180706-182733:813,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1220468,31250,TRUE,58439,1y,10y,255527,512064,512064,1/1/1855,01/01/2015,68.99654375,247.2515425,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-182733:813,0,0,0.5,0.7,TRUE,147,6454.597448,NONE,29,349.6555454,,
20180706-182920:390,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185534,31250,TRUE,58439,1y,10y,247889,497836,497836,1/1/1855,01/01/2015,75.84604169,253.1328544,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-182920:390,0,0,0.5,0.7,TRUE,147,8145.162888,NONE,22,348.5247498,,
20180706-183054:107,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186821,31250,TRUE,58439,1y,10y,248312,498028,498028,1/1/1855,01/01/2015,76.3667405,261.7184199,2.05E-06,src/main/resources/valipop/results/batch53-fs/20180706-183054:107,0,0,0.5,0.7,TRUE,147,8623.123536,NONE,22,353.0360508,,
20180706-183124:650,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1320929,31250,TRUE,58439,1y,10y,276130,554201,554201,1/1/1855,01/01/2015,85.74977235,274.1305756,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180706-183124:650,0,0,0.5,0.7,TRUE,147,8856.016056,NONE,42,366.0095129,,
20180706-183235:282,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1311356,31250,TRUE,58439,1y,10y,274229,550505,550505,1/1/1855,01/01/2015,86.85562127,278.5280163,2.15E-06,src/main/resources/valipop/results/batch53-fs/20180706-183235:282,0,0,0.2,0.2,TRUE,147,8592.146456,NONE,20,393.9089844,,
20180706-183320:920,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186990,31250,TRUE,58439,1y,10y,248501,498211,498211,1/1/1855,01/01/2015,76.56949382,264.8196186,2.05E-06,src/main/resources/valipop/results/batch53-fs/20180706-183320:920,0,0,0.2,0.1,TRUE,147,8578.475584,NONE,22,381.6464444,,
20180706-183333:190,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1194262,31250,TRUE,58439,1y,10y,249964,501507,501507,1/1/1855,01/01/2015,79.6826252,270.1106867,2.15E-06,src/main/resources/valipop/results/batch53-fs/20180706-183333:190,0,0,0.2,0.2,TRUE,147,9003.597736,NONE,22,391.9059812,,
20180706-183131:117,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193033,31250,TRUE,58439,1y,10y,249722,500164,500164,1/1/1855,01/01/2015,69.45637045,442.7013016,1.65E-06,src/main/resources/valipop/results/batch53-fs/20180706-183131:117,0,0,0.4,0,TRUE,147,7927.536272,NONE,36,362.5554575,,
20180706-183431:671,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188598,31250,TRUE,58439,1y,10y,249074,498956,498956,1/1/1855,01/01/2015,79.92285833,282.8714997,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-183431:671,0,0,0.2,0.1,TRUE,147,9077.622768,NONE,20,394.7219914,,
20180706-183438:158,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1271838,31250,TRUE,58439,1y,10y,266328,533890,533890,1/1/1855,01/01/2015,81.36160905,273.7154981,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180706-183438:158,0,0,0.2,0.2,TRUE,147,8819.215856,NONE,23,396.6061095,,
20180706-183527:425,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1203555,31250,TRUE,58439,1y,10y,251769,505403,505403,1/1/1855,01/01/2015,81.66084007,268.4000198,1.91E-06,src/main/resources/valipop/results/batch53-fs/20180706-183527:425,0,0,0.2,0.2,TRUE,147,8981.35512,NONE,21,386.0864846,,
20180706-183558:339,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190763,31250,TRUE,58439,1y,10y,249275,500337,500337,1/1/1855,01/01/2015,81.19674069,282.1001671,1.97E-06,src/main/resources/valipop/results/batch53-fs/20180706-183558:339,0,0,0.2,0.1,TRUE,147,7908.207208,NONE,16,397.868505,,
20180706-183842:282,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192420,31250,TRUE,58439,1y,10y,249573,501318,501318,1/1/1855,01/01/2015,67.71392257,241.653872,1.77E-06,src/main/resources/valipop/results/batch53-fs/20180706-183842:282,0,0,0.5,0.7,TRUE,147,8897.49308,NONE,21,351.7745705,,
20180706-183639:195,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188728,31250,TRUE,58439,1y,10y,248679,499246,499246,1/1/1855,01/01/2015,80.25743636,452.2194659,1.95E-06,src/main/resources/valipop/results/batch53-fs/20180706-183639:195,0,0,0.4,0,TRUE,147,7593.600496,NONE,5,368.0687408,,
20180706-181405:276,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188463,31250,TRUE,58439,1y,10y,248825,498396,498396,1/1/1855,01/01/2015,181.8661644,1133.01529,2.32E-06,src/main/resources/valipop/results/batch53-fs/20180706-181405:276,0,0,0.1,0,TRUE,147,8067.607664,NONE,77,959.3181185,,
