Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180706-192919:584,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189223,31250,TRUE,58439,1y,10y,248894,499202,499202,1/1/1855,01/01/2015,74.80449402,247.4857528,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180706-192919:584,0,0,0.6,0.6,TRUE,147,9058.23808,NONE,16,349.7848974,,
20180706-193258:646,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186324,31250,TRUE,58439,1y,10y,248487,498176,498176,1/1/1855,01/01/2015,68.24157171,239.5414678,1.76E-06,src/main/resources/valipop/results/batch53-fs/20180706-193258:646,0,0,0.6,0.6,TRUE,147,8936.568296,NONE,16,333.5937575,,
20180706-193019:583,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184527,31250,TRUE,58439,1y,10y,247809,497533,497533,1/1/1855,01/01/2015,67.625684,434.2991237,1.84E-06,src/main/resources/valipop/results/batch53-fs/20180706-193019:583,0,0,0.5,0,TRUE,147,8332.768936,NONE,2,346.1615812,,
20180706-193301:905,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192586,31250,TRUE,58439,1y,10y,249621,500286,500286,1/1/1855,01/01/2015,78.31782313,257.5453339,1.98E-06,src/main/resources/valipop/results/batch53-fs/20180706-193301:905,0,0,0.4,0.2,TRUE,147,9112.240416,NONE,19,363.1610958,,
20180706-193439:650,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1192004,31250,TRUE,58439,1y,10y,249436,500364,500364,1/1/1855,01/01/2015,77.55617802,258.9841736,2.26E-06,src/main/resources/valipop/results/batch53-fs/20180706-193439:650,0,0,0.4,0.2,TRUE,147,8144.777032,NONE,22,359.775193,,
20180706-193447:242,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185872,31250,TRUE,58439,1y,10y,248220,498165,498165,1/1/1855,01/01/2015,75.95290539,273.4398555,1.07E-05,src/main/resources/valipop/results/batch53-fs/20180706-193447:242,0,0,0.4,0.1,TRUE,147,8152.059168,NONE,23,360.4677104,,
20180706-193531:611,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185494,31250,TRUE,58439,1y,10y,247950,497798,497798,1/1/1855,01/01/2015,73.915265,266.6763339,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-193531:611,0,0,0.4,0.2,TRUE,147,8990.155472,NONE,19,363.3156818,,
20180706-193716:235,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187263,31250,TRUE,58439,1y,10y,248271,498407,498407,1/1/1855,01/01/2015,72.88621288,249.3489841,2.15E-06,src/main/resources/valipop/results/batch53-fs/20180706-193716:235,0,0,0.6,0.6,TRUE,147,9835.87972,NONE,34,354.2223137,,
20180706-193651:527,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188618,31250,TRUE,58439,1y,10y,248711,499090,499090,1/1/1855,01/01/2015,78.13279233,272.5565139,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180706-193651:527,0,0,0.4,0.2,TRUE,147,9131.708968,NONE,21,371.1952489,,
20180706-193821:152,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187704,31250,TRUE,58439,1y,10y,248502,498630,498630,1/1/1855,01/01/2015,78.34460738,295.7546132,2.24E-06,src/main/resources/valipop/results/batch53-fs/20180706-193821:152,0,0,0.4,0.1,TRUE,147,8953.690392,NONE,21,373.5509033,,
20180706-193634:253,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189995,31250,TRUE,58439,1y,10y,249120,499801,499801,1/1/1855,01/01/2015,78.79090783,445.1919593,2.12E-06,src/main/resources/valipop/results/batch53-fs/20180706-193634:253,0,0,0.5,0,TRUE,147,9146.596352,NONE,0,352.8290599,,
20180706-193650:577,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188807,31250,TRUE,58439,1y,10y,248929,499330,499330,1/1/1855,01/01/2015,72.31144145,441.3874241,1.77E-06,src/main/resources/valipop/results/batch53-fs/20180706-193650:577,0,0,0.5,0,TRUE,147,7648.173744,NONE,0,359.0664395,,
20180706-194025:157,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187851,31250,TRUE,58439,1y,10y,248638,498169,498169,1/1/1855,01/01/2015,74.79217755,253.0828692,2.51E-06,src/main/resources/valipop/results/batch53-fs/20180706-194025:157,0,0,0.6,0.6,TRUE,147,8930.272192,NONE,80,346.9449444,,
20180706-194034:332,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1198414,31250,TRUE,58439,1y,10y,250989,503182,503182,1/1/1855,01/01/2015,75.57593481,246.2178925,2.10E-06,src/main/resources/valipop/results/batch53-fs/20180706-194034:332,0,0,0.6,0.6,TRUE,147,8840.711096,NONE,19,344.1847481,,
20180706-194000:594,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1313105,31250,TRUE,58439,1y,10y,275015,551417,551417,1/1/1855,01/01/2015,86.23839431,291.0231589,1.83E-06,src/main/resources/valipop/results/batch53-fs/20180706-194000:594,0,0,0.4,0.1,TRUE,147,9182.585968,NONE,23,384.4526195,,
20180706-194342:460,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195450,31250,TRUE,58439,1y,10y,250243,501796,501796,1/1/1855,01/01/2015,66.35763973,240.78982,2.00E-06,src/main/resources/valipop/results/batch53-fs/20180706-194342:460,0,0,0.6,0.6,TRUE,147,9027.817368,NONE,38,336.6194917,,
20180706-194443:342,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189684,31250,TRUE,58439,1y,10y,248999,499064,499064,1/1/1855,01/01/2015,76.09238776,261.1724458,2.04E-06,src/main/resources/valipop/results/batch53-fs/20180706-194443:342,0,0,0.4,0.2,TRUE,147,9296.642584,NONE,24,360.1410785,,
20180706-194618:259,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188642,31250,TRUE,58439,1y,10y,248840,499228,499228,1/1/1855,01/01/2015,76.79930186,252.2377481,2.02E-06,src/main/resources/valipop/results/batch53-fs/20180706-194618:259,0,0,0.4,0.2,TRUE,147,9236.586208,NONE,16,370.1313249,,
20180706-194429:983,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186516,31250,TRUE,58439,1y,10y,248130,498083,498083,1/1/1855,01/01/2015,67.66311855,431.4398915,1.80E-06,src/main/resources/valipop/results/batch53-fs/20180706-194429:983,0,0,0.5,0,TRUE,147,8234.754,NONE,17,345.990314,,
20180706-194717:811,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186933,31250,TRUE,58439,1y,10y,248496,498147,498147,1/1/1855,01/01/2015,74.67766976,265.6282567,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180706-194717:811,0,0,0.4,0.2,TRUE,147,9053.026856,NONE,16,357.336585,,
