Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180705-161414:825,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593354,15625,TRUE,58439,1y,10y,124218,249134,249134,1/1/1855,01/01/2015,86.38081888,464.6855992,3.52E-06,src/main/resources/valipop/results/batch54-fs/20180705-161414:825,0,0,0.5,0.1,TRUE,147,5516.115512,NONE,43,749.2512198
20180705-161536:669,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592542,15625,TRUE,58439,1y,10y,123926,248891,248891,1/1/1855,01/01/2015,92.38546809,466.9546757,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180705-161536:669,0,0,0.5,0.1,TRUE,147,5545.956352,NONE,8,735.9382491
20180705-163557:591,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595304,15625,TRUE,58439,1y,10y,124470,250191,250191,1/1/1855,01/01/2015,84.88172499,440.0252111,3.39E-06,src/main/resources/valipop/results/batch54-fs/20180705-163557:591,0,0,0.5,0.2,TRUE,147,5583.350392,NONE,19,731.59449
20180705-163714:110,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,663030,15625,TRUE,58439,1y,10y,138678,278371,278371,1/1/1855,01/01/2015,95.46387731,462.2869371,2.54E-06,src/main/resources/valipop/results/batch54-fs/20180705-163714:110,0,0,0.5,0.2,TRUE,147,5839.525624,NONE,81,766.7685822
20180705-165656:457,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592898,15625,TRUE,58439,1y,10y,124027,248973,248973,1/1/1855,01/01/2015,83.32717948,433.9418503,3.80E-06,src/main/resources/valipop/results/batch54-fs/20180705-165656:457,0,0,0.5,0.3,TRUE,147,5736.594232,NONE,35,744.9457907
20180705-165921:018,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,659176,15625,TRUE,58439,1y,10y,137916,276391,276391,1/1/1855,01/01/2015,94.12109627,462.7832658,3.36E-06,src/main/resources/valipop/results/batch54-fs/20180705-165921:018,0,0,0.5,0.3,TRUE,147,5795.172728,NONE,12,771.5682116
20180705-171800:885,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593655,15625,TRUE,58439,1y,10y,124338,249470,249470,1/1/1855,01/01/2015,83.91989105,434.0666695,7.94E-06,src/main/resources/valipop/results/batch54-fs/20180705-171800:885,0,0,0.5,0.4,TRUE,147,5880.32604,NONE,26,743.7496414
20180705-172131:713,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,666699,15625,TRUE,58439,1y,10y,139609,279880,279880,1/1/1855,01/01/2015,102.834327,436.7053673,3.71E-06,src/main/resources/valipop/results/batch54-fs/20180705-172131:713,0,0,0.5,0.4,TRUE,147,6055.60172,NONE,29,768.9333309
20180705-173906:060,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593212,15625,TRUE,58439,1y,10y,124185,249160,249160,1/1/1855,01/01/2015,88.97440075,762.5404032,4.04E-06,src/main/resources/valipop/results/batch54-fs/20180705-173906:060,0,0,0.6,0,TRUE,147,5926.460224,NONE,8,706.0409522
20180705-174322:655,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,592629,15625,TRUE,58439,1y,10y,123994,248690,248690,1/1/1855,01/01/2015,84.72206973,767.7329951,3.65E-06,src/main/resources/valipop/results/batch54-fs/20180705-174322:655,0,0,0.6,0,TRUE,147,5984.572064,NONE,34,709.4763158
