Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180709-120759:034,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186093,31250,TRUE,58439,1y,10y,247951,497982,497982,1/1/1855,01/01/2015,73.11407309,280.7041162,2.27E-06,src/main/resources/valipop/results/batch53-fs/20180709-120759:034,0,0,0.6,0.05,TRUE,147,8431.657632,NONE,42,337.6187598,,
20180709-120511:509,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187865,31250,TRUE,58439,1y,10y,248532,498836,498836,1/1/1855,01/01/2015,71.86806654,460.5384287,1.87E-06,src/main/resources/valipop/results/batch53-fs/20180709-120511:509,0,0,0.55,0,TRUE,147,7023.545176,NONE,4,353.485546,,
20180709-120610:119,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1288246,31250,TRUE,58439,1y,10y,269632,540555,540555,1/1/1855,01/01/2015,79.2957549,465.2066398,1.82E-06,src/main/resources/valipop/results/batch53-fs/20180709-120610:119,0,0,0.55,0,TRUE,147,8789.041752,NONE,12,370.2544102,,
20180709-120930:408,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1195119,31250,TRUE,58439,1y,10y,250161,501722,501722,1/1/1855,01/01/2015,78.84952068,288.0243117,1.83E-06,src/main/resources/valipop/results/batch53-fs/20180709-120930:408,0,0,0.6,0.05,TRUE,147,8224.201224,NONE,16,351.3145662,,
20180709-121023:702,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1184456,31250,TRUE,58439,1y,10y,247865,497438,497438,1/1/1855,01/01/2015,79.53626766,273.4716843,1.92E-06,src/main/resources/valipop/results/batch53-fs/20180709-121023:702,0,0,0.5,0.4,TRUE,147,8230.45968,NONE,21,355.8806373,,
20180709-121037:606,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190599,31250,TRUE,58439,1y,10y,249001,499813,499813,1/1/1855,01/01/2015,78.6458761,274.0322948,2.14E-06,src/main/resources/valipop/results/batch53-fs/20180709-121037:606,0,0,0.5,0.4,TRUE,147,8195.313784,NONE,17,361.7213694,,
20180709-121315:730,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190628,31250,TRUE,58439,1y,10y,249044,500029,500029,1/1/1855,01/01/2015,83.30493053,263.6215533,2.19E-06,src/main/resources/valipop/results/batch53-fs/20180709-121315:730,0,0,0.5,0.9,TRUE,147,8340.550712,NONE,22,363.9052979,,
20180709-121413:432,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1204192,31250,TRUE,58439,1y,10y,252099,505903,505903,1/1/1855,01/01/2015,81.01872885,266.2964127,2.17E-06,src/main/resources/valipop/results/batch53-fs/20180709-121413:432,0,0,0.5,0.9,TRUE,147,8121.629528,NONE,22,363.9748236,,
20180709-121426:761,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1193216,31250,TRUE,58439,1y,10y,249628,500805,500805,1/1/1855,01/01/2015,82.87557821,273.772182,2.10E-06,src/main/resources/valipop/results/batch53-fs/20180709-121426:761,0,0,0.5,0.9,TRUE,147,6282.120656,NONE,79,361.4011021,,
20180709-121933:056,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185901,31250,TRUE,58439,1y,10y,248239,498147,498147,1/1/1855,01/01/2015,72.26359559,287.3002808,1.96E-06,src/main/resources/valipop/results/batch53-fs/20180709-121933:056,0,0,0.6,0.05,TRUE,147,8689.601424,NONE,63,345.2283626,,
20180709-120517:542,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190249,31250,TRUE,58439,1y,10y,249149,499436,499436,1/1/1855,01/01/2015,182.3342116,642.9171755,2.29E-06,src/main/resources/valipop/results/batch53-fs/20180709-120517:542,0,0,0.55,0.05,TRUE,147,8111.102368,NONE,20,842.8843421,,
20180709-122131:152,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1321243,31250,TRUE,58439,1y,10y,276703,554680,554680,1/1/1855,01/01/2015,87.56165646,294.7194732,2.15E-06,src/main/resources/valipop/results/batch53-fs/20180709-122131:152,0,0,0.6,0.05,TRUE,147,8545.74652,NONE,21,363.0672795,,
20180709-122216:208,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186062,31250,TRUE,58439,1y,10y,248306,497906,497906,1/1/1855,01/01/2015,78.51862759,270.4965353,1.86E-06,src/main/resources/valipop/results/batch53-fs/20180709-122216:208,0,0,0.5,0.4,TRUE,147,7257.573544,NONE,20,366.1316156,,
20180709-122234:654,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1187985,31250,TRUE,58439,1y,10y,248625,498370,498370,1/1/1855,01/01/2015,77.49951921,268.4129484,2.03E-06,src/main/resources/valipop/results/batch53-fs/20180709-122234:654,0,0,0.5,0.4,TRUE,147,8779.48524,NONE,22,368.9501463,,
